Year,Cluster,Indicator,Attribute,Province,Area Council,Intensity 2,Intensity 3,Intensity 4,Intensity 5
2025,Education,Number Schools,secondary,Penama,North Pentecost,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Penama,Central Pentecost 1,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Penama,Central Pentecost 2,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Penama,South Pentecost,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Malampa,North West Malekula,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Malampa,North East Malekula,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Malampa,Central Malekula,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Malampa,South West Malekula,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Malampa,South East Malekula,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Malampa,South Malekula,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Malampa,North Ambrym,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Malampa,West Ambrym,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Malampa,South East Ambrym,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Malampa,Paama,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Shefa,Port Vila,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Shefa,Vermali,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Shefa,Vermaul,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Shefa,Varisu,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Shefa,South Epi,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Shefa,North Tongoa,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Shefa,Makimae,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Shefa,Tongariki,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Shefa,Nguna,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Shefa,Emau,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Shefa,Malorua,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Shefa,North Efate,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Shefa,Mele,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Shefa,Tanvasoko,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Shefa,Ifira,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Shefa,Pango,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Shefa,Erakor,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Shefa,Eratap,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Shefa,Eton,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Tafea,North Erromango,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Tafea,South Erromango,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Tafea,Aniwa,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Tafea,North Tanna,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Tafea,West Tanna,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Tafea,Middle Bush Tanna,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Tafea,South West Tanna,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Tafea,Whitesands,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Tafea,South Tanna,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Tafea,Futuna,0.1,0.5,0.7,0.8
2025,Education,Number Schools,secondary,Tafea,Aneityum,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Torba,Torres,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Torba,Ureparapara,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Torba,Motalava,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Torba,East Vanualava,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Torba,West Vanualava,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Torba,Mota,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Torba,East Gaua,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Torba,West Gaua,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Torba,Merelava,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Sanma,Luganville,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Sanma,North West Santo,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Sanma,Big Bay Coast,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Sanma,Big Bay Inland,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Sanma,West Santo,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Sanma,South Santo 1,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Sanma,South Santo 2,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Sanma,East Santo,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Sanma,South East Santo,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Sanma,Canal Fanafo,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Sanma,West Malo,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Sanma,East Malo,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Penama,West Ambae,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Penama,North Ambae,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Penama,East Ambae,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Penama,South Ambae,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Penama,North Maewo,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Penama,South Maewo,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Penama,North Pentecost,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Penama,Central Pentecost 1,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Penama,Central Pentecost 2,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Penama,South Pentecost,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Malampa,North West Malekula,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Malampa,North East Malekula,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Malampa,Central Malekula,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Malampa,South West Malekula,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Malampa,South East Malekula,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Malampa,South Malekula,0.1,0.5,0.7,0.8
2025,Education,Number Teachers,ecce,Malampa,North Ambrym,0.1,0.5,0.7,0.8
