"Region","total_households","kava_households","kava_production","coconut_households","coconut_production","cocoa_households","cocoa_production","coffee_households","coffee_production","vanilla_households","vanilla_production","tahitian lime_households","tahitian lime_production","pepper_households","pepper_production","noni_households","noni_production"
"South Epi",470.290296930793,267.366203794474,2593093.5791366,117.91535141705,2260336.95268766,4.11332621222268,9.38223570814664,0,0,9.59776116185292,6.37992028153972,0,0,0,0,0,0
"North Tongoa",327.891570980372,237.697901025888,455182.476756202,142.806644094605,402415.743634946,4.69758697679622,936.385670708041,0,0,6.5766217675147,9.30383198459913,0.939517395359243,700.288428948322,0,0,0,0
"Tongariki",237.737908455605,122.668418518189,75479.7000422166,94.4438266467473,831584.756883598,2.17112245164936,20.3475442989287,3.25668367747404,67.0500031183747,1.08556122582468,0,2.17112245164936,271.300590652383,0,0,3.25668367747404,17091.9372111001
"Makimae",232.625876024746,100.083225731577,48901.6334620423,101.88652709611,225613.354420999,1.80330136453292,29.3321804230985,0.901650682266458,5.86643608461969,1.80330136453292,0.527979247615772,1.80330136453292,136.883508641126,0,0,1.80330136453292,1847.9273666552
"Nguna",468.181911066327,52.2524454315095,4209.8230903418,212.144928451929,913240.784773464,3.13514672589057,154.471424832474,5.22524454315095,91.0618584660571,9.40544017767171,181.475318358743,10.4504890863019,11613.962681849,1.04504890863019,0.715145485335527,1.04504890863019,120.144441536369
"Emau",197.239389926415,65.7464633088051,4205.03421579232,120.535182732809,342087.066903626,0,0,0,0,5.47887194240042,14.7929542444811,4.38309755392034,1534.08414387212,0,0,0,0
"Malorua",1023.64421567205,69.2385344817962,19577.3770230149,343.477435762636,672582.919165889,29.8676031097944,346.29330211564,1.35761832317247,0.655858526734167,8.14570993903485,5.1156965085265,57.0199695732439,66936.9212384891,1.35761832317247,0,14.9338015548972,6115.22490326937
"North Efate",872.350722672883,174.966503409496,88631.1966946462,328.837754634868,5041440.92282503,14.8907662476167,301.48151697957,2.48179437460278,742.780549080101,7.44538312380833,23.6815916236126,35.9860184317403,67593.0299662893,2.48179437460278,3.67749193417109,8.68628031110972,7523.93003244667
"Mele",887.60272195239,274.969595159931,34664.9524237584,396.963147942154,933497.144009869,30.9824895954852,169.23047639945,1.93640559971782,7.27873016771829,7.7456223988713,2.62034286037858,56.1557623918169,36430.0444894301,1.93640559971782,0,14.5230419978837,235699.840291054
"Tanvasoko",1904.00050406432,136.025807703602,6240.11870057541,510.810200956883,725851.645108512,25.6831944615193,46.7035911061777,0.951229424500714,1.2973219751716,3.80491769800286,5.44875229572073,19.0245884900143,4177.37676005256,0,0,14.2684413675107,5721.18991050677
"Ifira",245.525974562536,0,0,115.606400578773,128105.975869777,1.10101333884545,0,0,0,1.10101333884545,2.23332451879514,7.70709337191818,7469.22977952597,0,0,12.1111467273,13600.9463194624
"Pango",486.365911492837,3.85240325934919,0,281.225437932491,463971.050016792,4.81550407418649,301.99299113519,3.85240325934919,13.269389004425,1.9262016296746,1.92177357995121,29.8561252599562,5316.90690453167,0.963100814837298,0,53.9336456308887,72297.1220777643
"Erakor",3298.47690356345,606.503219042596,253383.451798614,1635.1664513399,3970730.33156697,156.199204904242,3057.26675282718,26.7368008394648,48.9006198468839,54.880801723112,66.5439634876396,289.883209101566,132129.47482628,0,0,160.420805036789,52495.7934180267
"Eratap",1825.63717105486,478.48399058366,150070.721353977,993.958015352091,4914422.29873869,52.5019840041921,170.271658220396,5.96613454593092,6.02321512072151,16.7051767286066,26.3399830471552,87.1055643705914,85135.8291101982,2.38645381837237,0.810817420097126,26.250992002096,34735.4182769609
"Eton",896.651622087837,260.168346305279,708637.180251716,449.487276875639,2529698.79809291,3.48439749515999,161.188228126101,5.80732915859998,358.733356596201,6.96879499031998,3.97597629377716,80.1411423886798,312293.237092758,2.32293166343999,6.71617617192088,5.80732915859998,6769.90558129625
"Tafea",10905.5906037098,7891.10324383781,9743925.72594177,7444.59522143239,30364498.390676,31.8497821331402,402.582703088515,727.935328873782,15549.0443291689,366.446749369092,1909.98769233528,57.0093666392271,13349.6852680211,14.9790044972331,8.29194891811118,54.2217267279921,17788.782992974
"North Erromango",374.158737182642,227.257488020329,130869.31156838,313.891558039129,2665284.81913152,5.02226492862606,222.20994323468,12.5556623215652,104.932473194154,2.51113246431303,2.96279924312906,0,0,0,0,0,0
"South Erromango",151.382492979637,117.156885871198,27587.4983156267,146.117014962954,884465.063360537,2.63273900834152,123.342019294903,3.94910851251228,21.5848533766081,2.63273900834152,0,0,0,0,0,0,0
"Aniwa",140.043923990882,0,0,5.73950508159351,1509.73938015829,0,0,0,0,0,0,0,0,0,0,0,0
"North Tanna",1021.95989506718,957.220354203183,7827969.84562588,578.031614856994,4063936.3772015,1.15606322971399,0,53.1789085668435,2393.92537996331,5.78031614856994,38.5586095378101,0,0,0,0,0,0
"West Tanna",3601.9013798503,2215.49616869491,275539.949386155,2318.7025119571,5683384.87165266,10.3206343262185,57.0307405589323,151.369303451205,2410.77087591258,94.6058146570032,613.650768414112,5.16031716310927,2091.12715382752,0,0,18.9211629314006,4448.39776359672
"Middle Bush Tanna",1581.98340313245,1497.65846197448,416680.272707471,1300.50437419672,4555546.61479114,3.56302568273073,0,263.663900522074,5821.09026937115,11.8767522757691,15.2486915976273,0,0,0,0,0,0
"South West Tanna",1424.05385466799,1205.90092374013,510395.636745981,962.29681753735,7207244.51395774,2.42392145475403,0,126.04391564721,3852.1216447684,2.42392145475403,2.62982480942931,2.42392145475403,266.793821246452,0,0,15.7554894559012,3361.60214770529
"Whitesands",1782.97527561199,1044.66622468379,43715.960807332,1349.84961616444,4301415.52016881,3.5213468247768,0,65.7318073958337,399.049931580835,0,0,1.1737822749256,913.979393395779,0,0,4.6951290997024,6786.29699596366
"South Tanna",403.851005201499,317.041910625476,122696.717610836,216.393685030087,796912.098050281,0,0,33.9687761384439,420.190015335604,22.6458507589626,57.2481921113878,6.29051409971183,755.293864689823,0,0,6.29051409971183,1359.52895644168
"Futuna",87.3229637301334,46.5722473227378,0,46.5722473227378,86238.4507314257,0,0,2.49494182086095,3.47268929119835,2.49494182086095,6.9453785823967,6.65317818896254,972.353001535538,0,0,0,0
"Aneityum",335.957672295088,262.13257870158,388470.533174107,206.496276283285,118560.322250186,3.20978667797853,0,14.9790044972331,121.906196375038,221.475280780518,1172.74342803939,35.3076534577638,8350.13803332599,14.9790044972331,8.29194891811118,8.55943114127607,1832.95712926668
