"Region","total_population","employ_government","employ_private","employ_employer","employ_self-employed","employ_voluntary","employ_unpaid","employ_own consumption"
"North Erromango",2246.28685916169,69.7397721385575,54.7609894436886,6.40475869740534,106.079264834449,15.6240143895865,39.3699250128305,206.191186809302
"South Erromango",1013.60451821149,10.5309560333661,7.89821702502455,2.63273900834152,19.7455425625614,3.94910851251228,1.31636950417076,155.33160149215
"Aniwa",538.365576653472,8.03530711423091,8.03530711423091,9.18320813054962,20.6622182937366,2.2958020326374,4.59160406527481,9.18320813054962
"North Tanna",5434.67125257786,70.3949342321734,36.0778939504151,49.5752854398324,17.1272097829528,16.2930935160198,39.267962036947,78.9900560807105
"West Tanna",22741.9667093492,819.981054862349,765.781002939865,235.21619489151,714.139535749099,93.6875116784689,88.9023839048883,906.796118525086
"Middle Bush Tanna",8186.60994297228,66.5763400940509,64.7702728609276,24.4659259725373,375.117136776971,16.20980364442,26.2614368917149,27.9734073106257
"South West Tanna",7905.67316763517,60.2087214390587,45.0009075766083,40.6593362926833,34.96959949668,12.0217173439701,18.6755508186614,55.1374470469253
"Whitesands",8995.93549801614,113.195620093606,68.1047978366648,13.9933721058506,41.2316843236311,27.1050639163713,150.920488632217,539.240290493999
"South Tanna",2014.3550298725,45.1369843374925,49.4564740822341,12.5252409141835,169.494104038222,11.1970613250263,16.6963130206361,55.3903215302317
"Futuna",473.963108572271,8.99581163619769,8.32536814010969,0.66130943734903,4.95125410120422,0,0,0.802336740033638
"Aneityum",1618.90380875273,55.7575111810735,67.3129317717195,5.07395253744973,141.963846149666,3.68877102254091,4.35407219000954,10.0639005288391
