"Region","total_households","island cabbage_households","island cabbage_production","banana_households","banana_production","taro_households","taro_production","kumala_households","kumala_production","manioc_households","manioc_production","yam_households","yam_production"
"North East Malekula",1539.62290420528,1241.66169502756,110854.858226078,1417.43061022072,466249.418139062,986.937759105937,75531.2983943593,183.288440976817,24363.9684946146,883.544279580554,88664.2324203418,1099.7306458609,255071.05603062
"Central Malekula",1541.65738237234,1236.40922066262,94843.5806239523,1420.38033495905,344724.358553769,1499.51874725417,239592.876232246,386.442117181334,32823.3705278321,1010.29947124801,84383.6613647093,1172.68738219123,261999.650311911
"South West Malekula",935.199541294908,836.418418678219,79394.8834684768,902.988305659027,149373.792887416,1541.84447910388,342274.467433408,138.508313234262,10924.1003812402,609.866061372565,46985.179314154,692.541566171311,146359.849758973
"South East Malekula",1153.86214879327,1104.91673273435,190826.130203681,1112.20647555163,446578.039687071,1907.82983446685,802562.433336467,638.373192428044,178292.009129265,856.024085115583,123231.219706181,1045.55739836502,341161.874870611
"South Malekula",1202.44366657817,1158.4808052507,118330.731100699,1166.79810333968,213130.987188536,2143.48653607412,436159.310083259,626.173727556022,86359.1650514794,1056.29685730039,178326.880903969,898.268193609777,306956.106474039
"North Ambrym",1007.7042284521,938.165316803471,153917.382693648,963.784915831914,222724.916352591,1845.83111095403,936904.141884996,403.813679924511,264161.626653179,658.789689302828,252839.100474812,731.988543669808,374956.975906081
"West Ambrym",385.450635837244,358.888187732073,32377.4881562848,358.297911107513,82595.0274009087,614.477966166263,117517.732921947,225.485670581664,28548.1093194163,243.193969318444,22954.3686492311,139.305283396002,14902.0388725075
"South East Ambrym",605.948867341972,576.202286581553,302810.001182896,573.998836154855,591105.705948147,1017.99409713452,549565.911532281,425.265932352733,81647.5528456749,502.386697287166,91936.765603552,375.688297752026,242120.240357955
"Paama",792.520433895933,715.763006884227,64816.4659850681,700.411521481885,59698.0888583598,711.925135533642,84672.7680213014,608.302609067828,100790.817054305,669.708550677199,71411.5280784372,623.654094470171,114437.647931763
"Shefa",24030.8306358174,13618.5401363933,1361572.66409091,14817.8814067035,2294276.48214246,17658.1413574325,3870104.46394505,5945.56739445876,1307082.31949697,12141.3706402402,1989224.51952703,8488.43195739405,2436236.41244111
"Port Vila",8958.28660829032,3463.54428223629,183110.761395275,3899.66639337999,188183.340884103,3624.61745935416,392866.749920215,1140.69951748386,119558.45922824,2902.14303333424,272809.344872557,1431.76157438106,148203.174340187
"Vermali",620.505261352837,543.387016634033,40273.1326143009,583.725790794639,190471.374797764,998.977877742044,335813.45820487,169.660138381369,29170.5487251206,257.456293907391,24538.5673413368,574.234314521555,402698.340913586
"Vermaul",467.791975723459,396.799155559466,27309.0903132251,444.972854956461,105423.415337569,773.314648214933,280670.646212747,209.175273697482,29892.6637856171,289.042196381975,43188.1691441509,372.712305860968,133267.755499028
"Varisu",610.02408994337,572.061217393246,49113.5672410562,572.061217393246,102040.365166557,1048.56072112584,220838.471146089,263.121978709479,25028.3224585196,502.680795146468,58873.6219691007,446.391018606629,72505.0904788883
"South Epi",470.290296930793,449.72366586968,34381.2027525041,449.72366586968,62565.4388197772,851.458525930095,185084.053003531,323.581662028184,35820.5940807285,426.414817333751,60525.3817036075,379.797120261894,57075.8927069401
