"Region","total_households","total_water","water_piped","water_well","water_tank","total_toilet","toilet_pit latrine","toilet_vip","toilet_flush","toilet_water sealed"
"Paama",792.520433895933,763.641869915541,48.2097140098196,221.76468444517,493.667471460551,780.997366959077,401.104820561699,364.465437914236,3.85677712078556,11.5703313623567
"Shefa",24030.8306358174,22766.6552794989,13512.7379998816,1184.17593030656,8069.7413493108,22434.0988663174,4699.82522810458,2292.24657094649,11298.1497256116,4143.87734165465
"Port Vila",8958.28660829032,8538.92359351807,7823.48392495566,38.291137190664,677.148531371742,8816.03050739787,435.309770167548,203.54762401353,7115.09788692837,1062.07522628842
"Vermali",620.505261352837,616.945957750432,177.965180120317,148.304316766931,290.676460863184,552.878492907117,379.659050923342,121.016322481815,26.1015597509798,26.1015597509798
"Vermaul",467.791975723459,466.52424679196,219.317105149481,84.9378384104926,162.269303231986,391.728239833466,105.221501314491,264.955346683477,10.1418314519991,11.409560383499
"Varisu",610.02408994337,506.60798885855,234.322558154213,6.54532285346963,265.740107850867,543.26179683798,503.989859717162,26.1812914138785,1.30906457069393,11.7815811362453
"South Epi",470.290296930793,463.434753243755,154.935287327054,32.9066096977814,275.59285621892,429.157034808566,379.797120261894,43.8754795970419,2.74221747481512,2.74221747481512
"North Tongoa",327.891570980372,322.132677316226,50.020602067737,35.0144214474159,237.097653801073,302.124436489131,148.060982120501,146.060158037792,4.00164816541896,4.00164816541896
"Tongariki",237.737908455605,232.148078262925,12.8323058336291,38.4969175008871,180.818854928409,213.482906141283,88.6595675778007,118.990472275469,0,5.8328662880132
"Makimae",232.625876024746,231.72422534248,2.93321804230987,41.0650525923382,187.725954707832,225.857789257861,65.5085362782539,112.440024955212,1.95547869487325,45.9537493295214
"Nguna",468.181911066327,461.869345973299,30.5107312829742,61.0214625659483,370.337152124376,466.077722701983,76.8028752985211,188.324858608702,8.41675345737218,192.533235337388
"Emau",197.239389926415,197.239389926415,0,42.7352011507233,154.504188775692,197.239389926416,136.971798560011,13.149292661761,20.8197133811216,26.298585323522
"Malorua",1023.64421567205,890.597620001143,370.629802226086,38.0133130488293,481.954504726228,901.458566586523,168.344672073387,77.3842444208311,279.66937457353,376.060275518775
"North Efate",872.350722672883,854.889912468402,100.280341638522,57.6611964421503,696.94837438773,846.115382575032,152.927520998747,33.8446153030013,216.856238793304,442.48700747998
"Mele",887.60272195239,859.033932899538,174.368126288094,15.7620905119181,668.903716099526,836.375927788656,27.5836583958567,10.8364372269437,424.591313164795,373.364519001061
"Tanvasoko",1904.00050406432,1854.25025948738,1340.31144767398,253.109145702232,260.829666111169,1653.67863509179,248.374600971578,117.573124107475,969.010840647946,318.720069364788
"Ifira",245.525974562536,243.303745805234,220.879437436088,0,22.424308369146,242.182530386776,7.84850792920107,21.3030929506886,191.727836556198,21.3030929506886
"Pango",486.365911492837,469.769406579895,350.840442888782,7.92859757940751,111.000366111705,456.885435513359,0.991074697425938,14.8661204613891,281.465214068967,159.563026285577
"Erakor",3298.47690356345,3114.13369777556,1744.92805478612,68.9528021649355,1300.2528408245,3129.61289826157,807.732825360673,512.220816082378,1234.11443874793,575.544818070584
"Eratap",1825.63717105486,1693.9115757296,286.550352211218,178.942835980001,1228.41838753838,1385.59790562893,530.783141859598,174.106543115677,431.639138140948,249.069082512704
"Eton",896.651622087837,749.214871768067,217.629081799296,34.4876687004348,497.098121268336,844.353268183059,435.258163598591,91.5707065494305,78.4891770423689,239.035220992669
"Tafea",10905.5906037098,9379.23009468818,6736.47523874807,319.137136374346,2323.61771956576,9693.33318926609,6409.4857350281,2850.9527989246,367.451310598327,65.4433447150727
"North Erromango",374.158737182642,359.091942396763,202.146163377199,0,156.945779019564,198.37946468073,91.6563349474257,86.6340700187996,12.5556623215652,7.5333973929391
"South Erromango",151.382492979637,119.789624879539,42.1238241334643,0,77.6658007460748,9.21458652919531,7.89821702502455,0,1.31636950417076,0
"Aniwa",140.043923990882,134.304418909288,0,1.1479010163187,133.156517892969,138.896022974563,25.2538223590114,112.494299599233,0,1.1479010163187
"North Tanna",1021.95989506718,631.521822383283,396.318164139975,2.35203658243308,232.851621660875,846.73316967591,733.835413719122,95.25748158854,3.52805487364963,14.1122194945985
"West Tanna",3601.9013798503,3372.47457796248,2224.72862384526,113.911628528927,1033.83432558829,3334.5040351195,2100.46139272279,923.374564590546,281.327203791138,29.3408740150267
"Middle Bush Tanna",1581.98340313245,1060.62806558166,435.465966183695,46.5292402223673,578.632859175593,1368.43688551424,804.120715637835,538.068906161222,20.2819765071858,5.96528720799581
"South West Tanna",1424.05385466799,1337.92889547877,1214.30890128631,96.5781204628558,27.0418737295996,1294.14681420227,919.423706806388,359.270608121824,14.1647910012189,1.28770827283808
"Whitesands",1782.97527561199,1679.72137221826,1596.04294488431,45.5309089905316,38.1475183434183,1762.16923444435,1314.24353518615,425.775527316862,18.458476617783,3.69169532355661
"South Tanna",403.851005201499,369.669258679742,349.413408889071,7.59594367150156,12.6599061191693,372.201239903577,137.992976698945,221.548357085463,11.3939155072523,1.26599061191693
"Futuna",87.3229637301334,85.6596691828927,84.8280219092724,0,0.831647273620318,76.5115491730692,3.32658909448127,69.8583709841067,3.32658909448127,0
"Aneityum",335.957672295088,228.440447015516,191.099220099518,5.49135689941143,31.8498700165863,292.140187048688,271.273030830925,18.6706134579988,1.09827137988229,1.09827137988229
